post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
3,person1,Before that i was so self-conscious but knowing that someone liked me enough to want to spend time with me in a relationship made me the happiest man and in general just confident with myself.,0,0,0.689096,0,0.571567,0,0
3,person1,"It didn't work out but i still remember i was the happiest dude alive, on top of the fucking world.",0,0,0.815852,0,0,0.520338,0
4,person1,as long as i remember these things I don't care if she appreciates it.,0,0,0.587551,0,0.982476,0,0
4,person1,Other happy moments may seem mundane to others but I still cherish them - mostly teenage moments involving music and weather.,0,0,0.735585,0,0,0,0.88939
4,person1,"she will also never discover the oath i made over her crib to always do my best to keep her happy, no matter what her life choices will be.",0,0,0.824918,0,0.833126,0.645985,0
5,person1,"Damn, i was so happy.'",0,0,0.89729,0,0,0,0
6,person1,So many happy tears were shed.',0,0,0.535949,0,0,0,0
7,person1,"We gave everyone $2000 for each year they'd worked for us (personal gift so they don't pay tax on it), which I think was well-received.'",0,0,0.608539,0,0,0,0
7,person1,This also allows me to finally move to another city to live with my boyfriend full-time.,0,0,0.680346,0,0.664451,0,0
8,person1,b'The happiest I remember being was when our plane landed coming home from Iraq into Germany.,0,0,0.75687,0,0.506763,0,0
8,person1,Trees have never looked so green.,0,0,0.787555,0,0,0.80026,0
10,person2,The sun was shining and I just felt great.',0,0,0.930499,0,0,0,0.946222
11,person2,I couldn't stop smiling after that race.',0,0,0.9576,0,0,0,0
12,person2,It felt like our lives were finally starting.',0,0,0.710496,0,0.506763,0,0.88939
12,person2,"I'd had plenty have happy moment before this: falling in love, getting engaged, getting married, but those were all over shadowed by hardships (see: underemployed).",0,0,0.82226,0,0,0.525926,0
14,person2,We talked and laughed the whole time and it was just one of those close moments between us.,0,0,0.511055,0,0,0,0.5538
14,person2,We didn't do anything exciting but it's one of the most fun times I've ever had.,0,0,0.909497,0,0,0,0.615352
16,person2,b'Right now.,0,0,0.519773,0,0,0,0
16,person2,Life gets better and more interesting all the time.,0,0,0.753834,0,0,0.874372,0
