source,date,title,description
Bgr.com,2019-03-07T17:33:00Z,"Galaxy S10 launches in stores tomorrow, but you probably shouldn’t buy one until next month - BGR","The Galaxy S10 will hit stores on Friday after having been available for preorder for two weeks, and we already have plenty of signs that say the handset is selling much better than its predecessor…"
TechCrunch,2019-03-07T17:19:53Z,Scaleway releases cloud GPU instances for €1 per hour - TechCrunch,French cloud-hosting company Scaleway is rolling out new instances with an Nvidia Tesla P100 GPU. The company is opting for simple pricing with a single configuration that costs €1 per hour ($1.13). Many companies now use GPU instances to train models for the…
Engadget,2019-03-07T16:56:26Z,The original ‘Diablo’ is now available on GOG.com - Engadget,You can now download the classic 'Diablo'.
IGN,2019-03-07T16:50:28Z,Newest PS4 Update Lets You Stream Your PS4 Screen to iOS Devices - IGN,"iOS PS4 remote app is live, no news on a Android version."
Gamespot.com,2019-03-07T16:49:00Z,Xbox One Loses Disc Drive For New Model; Next-Gen Consoles And More Rumor Roundup - GameSpot,There are a lot of Xbox rumours swirling around; here's everything you need to know.
Toucharcade.com,2019-03-07T16:15:00Z,"SwitchArcade Round-Up: Nintendo Goes VR with 'Nintendo Labo VR Kit', Another Batch of Williams Pinball Tables is Coming Soon, Today's New Releases, the Latest Sales Information, and More - Touch Arcade","Hello gentle readers, and welcome to the SwitchArcade Round-Up for March 7th, 2019. It's suspiciously quiet for a Thursday, perhaps the slowest of the year thus far. Nevertheless, there are still several new releases to look at. We've also got some news about…"
Ars Technica,2019-03-07T15:43:00Z,"With Rape Day ban, Steam shows it's not as “hands off” as it claims - Ars Technica","Lack of guidelines leads to capricious, reactive responses to controversy."
Petapixel.com,2019-03-07T15:43:00Z,"Leica Q2: A 47MP, 4K Weather-Sealed Full-Frame Compact Camera - PetaPixel","Leica has unveiled the new Q2, a full-frame compact camera that succeeds the original Q. The new camera features higher resolution, a better viewfinder,"
Culturedvultures.com,2019-03-07T15:27:21Z,Fortnite Season 8 Guide: Gain Health From Apples & Apples Locations - Cultured Vultures,All the locations of the apples in Fortnite Season 8 we could find for your Battle Pass challenges.
TechCrunch,2019-03-07T15:01:24Z,Sinemia’s new plan offers movie ticket discounts without a subscription - TechCrunch,"The world of movie ticket services has been undergoing quite an upheaval over the past year. Yesterday, MoviePass announced a strategic “refocus.” Today’s Sinemia news is decidedly less dramatic, however — as has been the case with most of the company’s recen…"
Engadget,2019-03-07T15:00:32Z,Alexa's new skill lets you scour Ticketmaster using your voice - Engadget,Alexa and Ticketmaster team up for hands-free ticket purchases.
CNN,2019-03-07T15:00:00Z,"Watch out, Alexa. Artificial voices are starting to sound just like humans - CNN",Seattle-based WellSaid Labs is using voice actors and artificial intelligence to create synthetic voices that sound a heck of a lot like people.
Nintendolife.com,2019-03-07T14:20:00Z,Nintendo Download: 7th March (North America) - Nintendo Life,"Kirby’s Extra Epic Yarn, Baba Is You and The Caligula Effect!"
Forbes.com,2019-03-07T14:13:00Z,Destiny 2's Gambit Prime Is Making Me Lose My Faith In Humanity - Forbes,"Gambit Prime implements new rules and mechanics that are...challenging the Destiny 2 community's comprehension, to say the least."
Engadget,2019-03-07T14:00:36Z,24 hours with Samsung's Galaxy Watch Active - Engadget,"This might be Samsung's best looking smartwatch, but how well does it work?"
Youtube.com,2019-03-07T14:00:06Z,The Lego Movie 2 Videogame: Quick Look - Giant Bomb,"The Lego Movie is awesome and the first game was pretty good, too! The Lego Movie 2 is fine and the game is also fine, not bad just exactly what you would ex..."
Mspoweruser.com,2019-03-07T14:00:00Z,Google urges users to download and install the latest Chrome update ASAP - MSPoweruser,"Google has urged all its users to immediately update to the latest version of Google Chrome after a critical vulnerability was discovered. The vulnerability exploits CVE-2019-5786, a security flaw and the only patch included in the Chrome 72.0.3626.121 versio…"
Digitaltrends.com,2019-03-07T14:00:00Z,Panasonic Lumix S1 hands-on review - Digital Trends,"It's big, it's heavy, it's expensive. But it's also bold. The Lumix S1 strikes out in a brave new direction, and may just be the best mirrorless camera ever made. But does Panasonic have what it takes to beat Canon, Nikon, and Sony at their own game?"
9to5google.com,2019-03-07T13:42:00Z,"Google Assistant on Android TV learns four new languages, can now speak 8 in total - 9to5Google","Android TV is arguably one of the best streaming platforms, but in all honesty, doesn’t have quite enough hardware out there. And the inbuilt Google Assistant features are great, but until re…"
IGN,2019-03-07T13:38:23Z,Complete Guide to Days Gone's Preorder Bonuses - IGN,"Everything you need to know to preorder Days Gone for PS4, including preorder bonuses and what comes in each edition."
Bloody-disgusting.com,2019-03-07T13:01:16Z,Cassie Cage Returns in New 'Mortal Kombat' Reveal Trailer - Bloody Disgusting,"As you saw from the Story Mode trailer that Netherrealm released yesterday for Mortal Kombat 11, We’ve got a few returning faces from the past game, including Cassie Cage. Apparently, Netherrealm decided to do a little more, and have released the reveal trail…"
