source,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
Thedailybeast.com,"Rand Paul: Sure, Vaccines Are OK, But We Shouldn't Trade 'Liberty' for 'False Sense of Security' - The Daily Beast",0,0,0,0,0,0.638987,0
Npr.org,HIV Eliminated By Bone Marrow Transplant In Cancer Patient : Shots - Health News - NPR,0,0,0,0.532817,0,0,0
USA Today,Teen who vaccinated himself says anti-vaxx Mom gets misinformation from Facebook - USA TODAY,0,0,0,0.61661,0,0,0
Staradvertiser.com,"Few seniors are getting routine memory checkups, report finds - Honolulu Star-Advertiser",0,0,0,0.551356,0.862286,0.579436,0
Abc13.com,'You saved our daughter's life': Child's dentist finds tumor during routine cleaning - KTRK-TV,0,0,0,0,0.642915,0,0
The Verge,"Lead contamination goes far beyond Flint, Michigan - The Verge",0,0,0,0,0.724236,0,0
Fox News,"Woman claims allergic reaction to vape caused painful rash, required hospital visit - Fox News",0,0,0,0.756812,0.762356,0,0
Bbc.com,Brain clue to 'broken heart' syndrome - BBC News,0,0,0,0.851411,0,0,0
Myfox8.com,"Florida woman gets $48,000 medical bill after kitten bite - WGHP FOX 8 Greensboro",0,0,0,0,0,0,0
Wfmj.com,FDA expands blood pressure medicine recall - WFMJ,0,0.80746,0,0,0.972852,0,0
Daily Mail,Striking scans show lung cancer patient's tumours SHRINK because of CBD oil - Daily Mail,0,0,0,0,0.908301,0,0
Huffpost.com,So THAT'S Why You Don't Feel Full After Eating Junk Food - HuffPost,0,0,0,0,0.932977,0,0
The Guardian (AU),Revealed: AmazonSmile helps fund anti-vaccine groups - The Guardian,0,0,0,0,0,0,0
NBC News,"An 'expensive lottery ticket': Freezing eggs offers women hope, but not everyone wins - NBCNews.com",0,0,0,0,0,0,0.647986
Ajc.com,Alzheimerâ€™s grows sharply in Georgia â€” and faster than national average - Atlanta Journal Constitution,0,0,0,0,0,0,0
Npr.org,Arizona Considers Expanding Exemptions For School Vaccines : Shots - Health News - NPR,0,0,0,0,0.653099,0,0
Washingtonexaminer.com,Suicides and substance abuse-related deaths hit a record high in 2017 - Washington Examiner,0,0,0,0.716204,0.840228,0,0
Ksl.com,Utah researchers identify potential treatment for pancreatic cancer - KSL.com,0,0,0,0.618121,0.687768,0,0
Cbs58.com,Brookfield man with measles charged for breaking in-home quarantine order - WDJT,0,0,0,0.58404,0,0,0
6abc.com,More students test positive for mumps at Temple University - WPVI-TV,0,0,0.764937,0,0,0.849827,0
Npr.org,FDA Expected To Approve Esketamine Nasal Spray For Depression - NPR,0,0,0,0,0.687768,0,0
Mprnews.org,Is your child an orchid or a dandelion? Unlocking the science of sensitive kids - MPR News,0,0,0,0,0,0,0.936899
Abc13.com,Galveston Co. reports 1st flu-related death of 2019 season - KTRK-TV,0,0,0,0,0,0,0
